investor,CC22_306,CC22_300b_5,CC22_300d_2,presvote16post,presvote20post,CC22_300b_3,CC22_300d_5,numchildren,religpew,CC22_333,CC22_300b_1,race,educ,industry,CC22_320c,CC22_304,CC22_320b,CC22_300b_4,marstat,CC22_309e,CC22_300d_6,CC22_300b_6,CC22_300d_4,sexuality,gunown,ideo5,CC22_300b_2,CC22_300d_1,CC22_320a,CC22_303,gender4,CC22_300b_8,CC22_360,CC22_300d_3,employ,urbancity,transgender,CC22_327a,faminc_new,pew_religimp,CC22_302,CC22_300b_7,hispanic,CC22_309f
1.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,1.976506607888099,11,2.0,2.0,1,2,12.0,2.0,1.0,3.0,2.0,3.0,4.0,2.0,2.0,1.0,1.0,2.0,5,2.0,1.0,0,2.0,1,1.0,3.0,1.0,6.0,1,2.0,2.0,3.0,1.0,4.0,2.0,2.0,4.0
1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,0.1621254150194528,10,1.0,2.0,1,5,17.0,4.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,3.0,3,2.0,2.0,1,3.0,1,2.0,1.0,1.0,5.0,1,2.0,1.0,7.0,4.0,4.0,1.0,2.0,2.0
1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,-0.05303490424426995,9,1.0,2.0,1,5,6.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1,2.0,2.0,1,2.0,2,2.0,2.0,1.0,1.0,2,2.0,1.0,6.0,4.0,4.0,1.0,2.0,3.0
1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.910144028317109,2,4.0,2.0,5,2,16.0,2.0,1.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,4.0,3.0,5,2.0,2.0,0,4.0,1,1.0,1.0,2.0,2.0,3,2.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0
1.0,1.0,2.0,2.0,7.0,1.0,1.0,2.0,0.04000785837073303,11,2.0,2.0,1,4,15.0,4.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,3,2.0,2.0,1,3.0,1,2.0,2.0,2.0,1.0,3,2.0,1.0,4.0,3.0,3.0,2.0,2.0,2.0
2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,-0.014405169726839055,1,3.0,1.0,2,4,14.0,4.0,1.0,2.0,1.0,6.0,3.0,1.0,1.0,2.0,1.0,3.0,1,1.0,2.0,1,3.0,1,2.0,2.0,2.0,1.0,1,2.0,1.0,97.0,3.0,5.0,2.0,2.0,4.0
1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,0.8316354563693933,1,1.0,1.0,1,3,3.0,4.0,2.0,3.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,3.0,3,2.0,2.0,1,3.0,1,2.0,1.0,2.0,5.0,2,2.0,1.0,15.0,1.0,2.0,2.0,2.0,3.0
1.0,2.0,2.0,2.0,5.0,1.0,2.0,2.0,0.02593909649393663,1,2.0,1.0,2,3,7.0,3.0,1.0,5.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,3.0,2,2.0,2.0,1,3.0,1,2.0,2.0,1.0,1.0,1,2.0,2.0,14.0,1.0,5.0,2.0,2.0,2.0
2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.12078915199716365,9,1.0,1.0,1,5,15.0,3.0,1.0,2.0,1.0,6.0,2.0,2.0,1.0,2.0,1.0,3.0,1,1.0,2.0,1,3.0,1,2.0,2.0,1.0,1.0,2,2.0,1.0,12.0,3.0,3.0,2.0,2.0,1.0
2.0,1.0,2.0,2.0,7.0,1.0,2.0,1.0,0.1223312777541565,2,1.0,2.0,2,2,17.0,3.0,1.0,5.0,2.0,4.0,5.0,1.0,2.0,2.0,1.0,1.0,2,1.0,2.0,1,3.0,1,2.0,2.0,2.0,5.0,4,2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0
