gender,ownhome,approval_senator2,partisan_identity,voted_president_party,protestantism_branch,has_child,religion,union_membership,religion_importance,approval_president,race_ethnicity,approval_governor,citizen,age,economy_retro,educ,approval_house_representative,church_attendance,employment_status,family_income,uninsured,no_immediate_family_served_military,state,year,union_membership_household,evangelical,approval_senator1,marital_status,interest_in_news,ideology,voted_general_election,registered_party,voted_senator_party,intention_house_representative_vote,registration_status,intention_to_vote,intention_president_vote,self_reported_turnout,intention_senator_vote,voted_house_representative_party,intention_governor_vote,voted_governor_party
Male,Own,Strongly Disapprove,Not Very Strong Republican,Did not Vote,Not protestant,No,Roman Catholic,union,Very Important,Strongly Disapprove,Asian,Strongly Approve,Citizen,58,Gotten much worse,Post-Grad,Strongly Disapprove,Once a Week,Full-Time,80k - 100k,No,Yes,Maryland,2022,union_hh,No,Strongly Disapprove,Single / Never Married,Only now and then,Moderate,,,Republican,Republican,,"Yes, definitely",,Yes,Republican,Republican,,Democratic
Female,Rent,Approve / Somewhat Approve,Strong Democrat,Democratic,Not protestant,Yes,Nothing in Particular,union,Very Important,Disapprove / Somewhat Disapprove,Asian,Strongly Approve,Citizen,43,Stayed about the same,4-Year,Approve / Somewhat Approve,Don't Know,Part-Time,80k - 100k,No,Yes,New York,2021,union_hh,No,Approve / Somewhat Approve,Married,Most of the time,Moderate,,,,,,,,,,,,
Male,Own,Approve / Somewhat Approve,Strong Democrat,Democratic,Not protestant,No,Muslim,union,Very Important,Disapprove / Somewhat Disapprove,Asian,Strongly Disapprove,Citizen,57,Gotten much worse,Post-Grad,Approve / Somewhat Approve,More Than Once a Week,Full-Time,150k+,No,Yes,Virginia,2022,union_hh,No,Approve / Somewhat Approve,Married,Most of the time,Moderate,,,,,,I already voted (early or absentee),,Yes,,Democratic,,
Female,Rent,Never Heard of this Person,Lean Republican,,Presbyterian,No,Protestant,union,Very Important,Disapprove / Somewhat Disapprove,Asian,Never Heard / Not Sure,Citizen,28,Stayed about the same,Post-Grad,Never Heard of this Person,Once or Twice a Month,Part-Time,50k - 60k,No,Yes,Pennsylvania,2014,union_hh,No,Never Heard of this Person,Married,Hardly at all,Conservative,No Record of Voting,No Record of Party Registration,,,No Record of Registration,No,,,,,,
Female,Own,Strongly Approve,Strong Democrat,Democratic,Not protestant,Yes,Roman Catholic,union,Very Important,Strongly Approve,Asian,Strongly Approve,Citizen,37,Gotten better / somewhat better,4-Year,Never Heard / Not Sure,A Few Times a Year,Full-Time,80k - 100k,No,No,California,2016,union_hh,No,Strongly Approve,Divorced,Some of the time,Moderate,Voted,No Record of Party Registration,Democratic,Democratic,Active,"Yes, definitely",Democratic,Yes,Democratic,Democratic,,
Male,Other,Never Heard / Not Sure,Not Very Strong Democrat,Democratic,Not protestant,No,Hindu,union,Very Important,Approve / Somewhat Approve,Asian,Approve / Somewhat Approve,Citizen,75,Stayed about the same,4-Year,Never Heard / Not Sure,Once or Twice a Month,Retired,Prefer not to say,No,Yes,Pennsylvania,2016,union_hh,No,Never Heard / Not Sure,Married,Hardly at all,Moderate,Voted,No Record of Party Registration,Democratic,,Active,"Yes, definitely",,Yes,,Democratic,,
Male,Own,Approve / Somewhat Approve,Strong Republican,,Not protestant,Yes,Hindu,union,Very Important,Strongly Approve,Asian,Strongly Approve,Non-Citizen,45,Stayed about the same,Post-Grad,Strongly Approve,More Than Once a Week,Full-Time,20k - 30k,No,No,Louisiana,2013,union_hh,No,Approve / Somewhat Approve,Married,Most of the time,Moderate,,,,,,,,,,,,
Male,Rent,Never Heard / Not Sure,Not Sure,,Nondenominational or Independent Church,Yes,Protestant,union,Very Important,Approve / Somewhat Approve,Asian,Disapprove / Somewhat Disapprove,Non-Citizen,44,Stayed about the same,Post-Grad,Never Heard / Not Sure,More Than Once a Week,Full-Time,50k - 60k,No,Yes,California,2017,union_hh,Yes,Never Heard / Not Sure,Married,Some of the time,Moderate,,,,,,,,,,,,
Female,Rent,Approve / Somewhat Approve,Strong Democrat,,Not protestant,No,Roman Catholic,union,Very Important,Approve / Somewhat Approve,Asian,Approve / Somewhat Approve,Citizen,25,Stayed about the same,High School Graduate,Approve / Somewhat Approve,Once a Week,Full-Time,40k - 50k,No,No,California,2014,union_hh,No,Approve / Somewhat Approve,Single / Never Married,Only now and then,Liberal,No Record of Voting,No Record of Party Registration,,Democratic,Active,Probably,,No,,,Democratic,
Male,Own,Approve / Somewhat Approve,Not Very Strong Republican,,Nondenominational or Independent Church,Yes,Protestant,union,Very Important,Strongly Disapprove,Asian,Strongly Approve,Citizen,42,Stayed about the same,4-Year,Approve / Somewhat Approve,Once a Week,Full-Time,50k - 60k,No,Yes,Ohio,2016,union_hh,Yes,Never Heard / Not Sure,Married,Some of the time,Moderate,Voted,No Record of Party Registration,,Republican,Active,"Yes, definitely",,,Republican,,,
Female,Own,Never Heard / Not Sure,Independent,Did not Vote,Not protestant,Yes,Hindu,union,Very Important,Approve / Somewhat Approve,Asian,Approve / Somewhat Approve,Non-Citizen,38,Stayed about the same,4-Year,Never Heard / Not Sure,A Few Times a Year,Full-Time,40k - 50k,No,Yes,New Jersey,2021,union_hh,No,Never Heard / Not Sure,Married,Only now and then,Liberal,,,,,,,,,,,,
Female,Other,Strongly Disapprove,Strong Republican,Did not Vote,Not protestant,No,Roman Catholic,union,Very Important,Strongly Approve,Asian,Strongly Disapprove,Citizen,72,Gotten better / somewhat better,4-Year,Strongly Disapprove,More Than Once a Week,Retired,30k - 40k,No,No,New Jersey,2018,union_hh,Yes,Strongly Disapprove,Widowed,Most of the time,Very Conservative,No Record of Voting,No Record of Party Registration,Republican,Republican,No Record of Registration,"Yes, definitely",,Yes,Republican,Republican,,
