Total_population__Both_sexes_,Taxable_income__million_yen_,Ordinal_Number_of_employed_persons,Number_of_households__Total_,Ordinal_Number_of_physicians,Number_of_dwellings_with_occupying_households,Ordinal_Total_population__65_and_over_,Number_of_lower_secondary_school_students,Number_of_elderly_nursing_facilities__Questionnaire_about_basic_matters_
b,b,e,b,a,,d,b,c
c,c,f,c,a,c,d,c,b
b,d,f,a,a,d,e,a,b
c,d,e,c,a,,e,d,c
c,c,e,d,a,d,c,c,c
a,,e,a,a,,e,a,a
c,d,f,d,a,b,c,c,d
b,b,e,b,a,a,d,b,a
d,d,e,d,a,c,d,c,b
c,d,e,c,a,b,b,c,c
a,a,e,a,a,c,d,c,d
c,a,e,c,a,c,d,c,a
a,c,f,a,a,c,d,a,a
c,d,e,d,a,,d,d,d
a,b,e,c,a,c,e,a,a
d,d,e,c,a,,d,d,b
c,c,e,b,a,d,e,a,c
d,d,e,c,a,c,d,d,d
c,c,e,d,a,c,e,c,b
b,b,e,b,a,b,c,b,a
b,b,e,b,a,a,c,b,a
c,c,e,a,a,b,f,a,c
d,d,e,d,a,d,b,d,d
b,b,e,b,a,,c,b,c
a,c,f,a,a,d,d,a,a
c,c,e,c,a,d,d,d,b
d,d,e,d,a,,b,d,a
c,b,e,c,a,c,d,a,a
b,a,f,a,a,,e,b,a
a,b,f,b,a,d,d,a,a
c,d,e,d,a,c,e,d,b
d,c,e,c,a,a,c,a,d
b,a,e,b,a,a,c,a,a
b,a,e,a,a,,d,a,d
c,,e,a,a,,c,c,c
a,b,e,b,a,d,e,b,c
d,d,e,d,a,d,b,d,d
d,c,e,d,a,,e,d,d
c,a,e,c,a,,d,a,a
b,b,f,b,a,d,d,b,b
c,d,e,d,a,,d,d,b
d,c,e,c,a,b,c,b,a
a,a,f,b,a,,d,a,a
a,c,f,b,a,,c,a,a
b,b,f,b,a,,c,b,b
c,d,f,d,a,,e,c,d
c,,e,c,a,d,c,d,a
c,d,f,c,a,,c,c,d
b,b,e,b,a,a,d,b,a
b,a,e,b,a,c,d,a,a
c,,f,a,a,,c,a,d
c,d,e,a,a,a,d,c,a
c,c,e,d,a,c,c,c,b
c,c,f,c,a,c,c,c,c
b,a,f,b,a,b,d,a,a
b,b,e,b,a,a,c,b,a
d,d,e,d,a,,c,d,d
b,b,e,a,a,a,d,a,a
d,c,e,c,a,b,d,d,d
a,c,e,a,a,,c,a,a
b,b,e,b,a,b,d,b,a
d,c,e,d,a,,c,d,b
c,a,e,c,a,,f,c,d
c,a,e,c,a,a,c,a,c
c,d,f,c,a,b,d,d,b
c,d,e,c,a,,e,d,d
a,b,e,c,a,c,e,b,c
c,,e,c,a,b,e,c,a
c,d,f,a,a,a,d,c,b
b,b,f,b,a,c,d,b,a
a,b,f,a,a,d,b,a,c
c,d,e,d,a,c,c,d,b
b,d,f,a,a,,d,c,c
b,c,e,a,a,b,c,a,a
b,b,e,b,a,d,c,b,a
c,a,e,c,a,b,f,c,c
c,,e,a,a,,c,a,d
d,a,f,d,a,d,d,c,b
c,d,e,d,a,a,d,c,b
b,b,e,b,a,,d,b,b
a,,f,d,a,a,c,a,d
b,,e,b,a,,f,b,c
b,b,d,b,a,a,d,b,a
c,c,e,c,a,c,c,c,a
a,b,f,a,a,a,f,b,a
a,b,e,c,a,,e,a,c
a,a,e,a,a,a,d,b,b
b,b,d,b,a,a,f,b,a
b,b,f,a,a,d,d,a,a
c,,e,d,a,c,d,a,c
b,a,e,b,a,a,d,b,a
c,a,f,a,a,d,d,a,a
c,d,e,c,a,b,e,d,b
b,b,f,b,a,,d,b,a
b,a,g,c,a,,e,a,a
b,b,f,b,a,a,c,b,a
c,c,e,c,a,b,e,d,b
c,c,e,a,a,b,e,c,a
b,b,e,b,a,a,d,b,a
a,a,e,b,a,c,d,a,b
b,b,e,b,a,a,d,b,c
