Total_population__Both_sexes_,Taxable_income__million_yen_,Ordinal_Number_of_employed_persons,Number_of_households__Total_,Ordinal_Number_of_physicians,Number_of_dwellings_with_occupying_households,Ordinal_Total_population__65_and_over_,Number_of_lower_secondary_school_students,Number_of_elderly_nursing_facilities__Questionnaire_about_basic_matters_
d,a,f,d,a,,c,a,a
c,c,e,c,a,,d,c,a
c,,f,c,a,,d,c,b
c,b,e,d,a,a,d,a,c
d,a,e,d,a,d,e,a,d
b,a,d,c,a,a,e,d,d
c,d,f,a,a,,d,b,b
d,,f,d,a,c,c,a,d
d,d,e,a,a,,c,d,a
c,d,f,c,a,c,c,b,b
b,a,f,a,a,a,d,b,d
b,d,e,c,a,d,c,b,b
d,d,e,c,a,d,c,d,d
b,a,e,a,a,,d,a,a
c,d,e,c,a,a,b,d,d
c,d,e,a,a,c,d,c,b
a,,f,c,a,d,c,a,a
b,b,e,b,a,,d,b,d
c,b,e,a,a,,e,a,a
a,a,e,a,a,,d,a,b
c,c,f,d,a,b,d,b,b
d,c,e,b,a,a,c,c,d
b,a,e,d,a,b,c,a,c
c,,d,c,a,b,d,d,c
d,c,g,d,a,a,d,c,c
c,c,e,a,a,d,d,c,b
a,d,e,d,a,c,c,d,d
d,d,e,d,a,d,c,d,d
b,b,f,a,a,b,e,b,a
b,b,f,c,a,b,b,b,b
c,,f,b,a,,d,c,a
b,b,f,b,a,a,c,c,b
b,c,e,c,a,b,c,b,d
a,b,e,c,a,b,d,d,d
c,b,i,b,a,c,e,a,d
b,d,e,d,a,d,c,b,d
c,c,f,c,a,b,c,d,c
b,c,f,b,a,a,e,a,a
c,c,g,b,a,b,d,c,c
b,b,e,b,a,d,d,a,b
d,b,e,b,a,,c,d,c
b,c,h,b,a,a,d,b,c
b,,e,c,a,c,e,d,a
d,b,e,d,a,d,c,c,d
c,a,e,c,a,b,e,b,a
b,a,f,b,a,,d,a,c
c,a,f,c,a,c,d,d,b
d,d,e,b,a,d,c,c,b
c,b,f,a,a,c,f,d,a
a,c,i,d,a,d,d,d,b
d,b,e,d,a,d,d,c,b
a,b,f,b,a,a,d,c,d
b,d,h,d,a,d,e,b,d
b,a,f,b,a,,d,b,a
c,b,e,b,a,b,d,c,d
c,c,e,d,a,d,c,b,c
d,c,f,b,a,,d,c,c
a,d,e,a,a,,d,a,a
b,c,f,c,a,d,e,b,c
b,b,e,b,a,d,c,d,c
d,c,e,a,a,d,d,d,c
c,b,e,c,a,d,e,a,b
c,a,d,c,a,,e,b,b
a,,e,c,a,c,c,b,d
b,c,e,b,a,a,d,b,c
d,c,e,b,a,d,d,b,d
d,d,e,c,a,a,d,a,d
c,b,e,c,a,c,d,a,c
d,d,e,d,a,d,c,d,d
c,d,e,d,a,d,d,d,b
d,d,d,a,a,d,f,a,c
b,b,e,d,a,d,d,d,d
c,,e,c,a,,f,c,d
a,c,e,b,a,,d,d,d
b,a,e,d,a,b,d,b,a
d,d,d,c,a,c,d,c,b
c,a,f,c,a,a,d,c,a
c,b,f,a,a,,f,a,b
c,b,e,b,a,b,c,c,b
a,a,f,a,a,,d,a,b
d,d,f,b,a,d,c,b,d
a,a,e,a,a,b,d,a,c
a,b,f,a,a,,e,b,c
c,c,e,b,a,a,e,c,c
b,a,f,a,a,a,d,c,b
c,,e,c,a,b,c,c,d
b,b,f,a,a,,d,b,a
c,d,e,d,a,c,e,d,d
c,c,e,c,a,a,e,c,c
b,b,f,c,a,a,d,a,b
d,a,e,b,a,,d,b,a
d,b,d,b,a,a,b,d,b
c,c,e,c,a,c,c,a,a
b,c,f,c,a,,e,c,b
d,b,d,c,a,d,e,a,b
a,b,f,a,a,a,d,a,b
c,d,e,d,a,d,d,d,c
a,,f,b,a,b,d,a,c
d,d,e,d,a,d,c,c,d
d,a,d,c,a,b,d,d,a
c,d,e,d,a,c,d,b,b
d,c,e,b,a,,d,a,a
c,,e,c,a,a,c,b,d
d,,e,d,a,c,d,d,d
d,d,e,d,a,d,c,d,d
b,b,f,d,a,a,d,d,a
c,,e,c,a,b,d,c,b
d,d,e,c,a,d,c,c,c
a,a,e,c,a,d,d,c,d
b,d,e,b,a,,c,d,b
a,b,f,d,a,a,e,a,a
d,d,f,b,a,,d,c,b
b,b,e,a,a,,d,b,a
a,d,e,d,a,d,c,c,d
c,c,e,a,a,d,c,c,b
a,b,f,c,a,,c,c,b
b,d,e,c,a,d,c,c,d
c,c,e,d,a,b,e,a,c
b,b,e,a,a,,d,a,a
b,c,f,d,a,a,d,c,a
c,b,e,c,a,,d,b,b
b,c,e,c,a,c,c,a,a
d,c,e,c,a,b,e,d,d
a,b,i,b,a,b,g,b,c
d,d,e,d,a,,f,d,d
d,b,e,d,a,,e,b,a
c,c,e,d,a,d,e,b,b
a,d,h,b,a,c,d,b,d
d,d,e,d,a,c,c,d,d
c,,e,c,a,c,d,b,b
a,c,e,c,a,c,c,c,c
a,c,f,b,a,a,e,b,b
b,c,e,d,a,b,d,b,b
b,c,g,c,a,c,c,d,c
a,a,d,a,a,c,f,c,b
d,d,e,c,a,d,d,c,d
b,,e,b,a,b,d,a,c
c,,e,d,a,,e,d,b
b,a,f,b,a,,d,b,a
c,b,e,b,a,b,d,b,d
b,d,e,a,a,b,d,c,c
a,a,h,b,a,a,e,c,a
c,c,g,b,a,,d,c,c
d,d,e,c,a,,d,d,b
d,d,e,c,a,c,c,d,d
a,c,e,c,a,b,e,a,b
c,b,e,c,a,c,g,c,d
b,c,e,d,a,,c,c,a
b,c,e,c,a,d,c,c,b
c,a,e,a,a,,d,a,a
c,b,e,c,a,d,d,b,c
c,c,e,d,a,b,d,b,b
b,c,e,b,a,b,c,c,b
a,b,e,d,a,,c,a,b
d,c,e,a,a,,f,d,b
b,c,f,a,a,a,d,c,a
c,,e,b,a,c,f,b,d
c,,e,b,a,c,c,c,b
b,d,e,d,a,d,c,d,c
b,a,e,b,a,,g,d,d
b,a,f,a,a,b,d,b,b
a,d,f,c,a,,d,a,b
c,c,e,c,a,a,c,c,b
a,a,f,a,a,a,d,a,a
b,b,e,d,a,,c,b,d
b,a,e,b,a,a,c,a,b
c,d,e,d,a,b,c,d,d
c,d,e,c,a,d,d,b,c
d,c,e,d,a,c,c,c,d
a,b,e,c,a,b,e,b,b
c,a,e,c,a,,d,c,a
d,c,e,d,a,b,b,d,a
d,a,e,d,a,c,c,b,d
c,a,d,d,a,,f,b,a
a,a,f,a,a,,d,b,a
d,b,e,b,a,,c,b,a
c,b,e,b,a,a,c,c,b
b,d,e,a,a,,d,a,a
b,a,f,b,a,,d,b,a
d,c,e,b,a,a,d,c,b
b,,e,b,a,d,d,c,c
b,d,f,c,a,b,c,c,b
a,c,f,b,a,,c,a,a
d,d,e,c,a,,c,c,c
d,c,d,b,a,a,f,d,a
c,a,f,a,a,d,e,a,b
d,c,e,a,a,d,c,d,d
d,c,e,d,a,,d,b,c
d,b,e,d,a,a,d,a,c
d,c,e,d,a,d,c,d,d
a,c,e,c,a,,c,a,a
a,c,e,c,a,d,e,c,b
d,d,e,a,a,c,e,b,c
d,b,e,b,a,d,d,b,d
b,d,f,b,a,,d,b,b
a,d,e,a,a,a,b,a,a
c,c,f,b,a,b,d,b,a
a,c,f,d,a,d,d,a,a
b,c,e,d,a,,d,a,d
c,c,e,c,a,b,d,d,d
a,d,f,d,a,a,e,a,b
b,,e,c,a,d,c,c,d
c,d,g,d,a,d,b,c,c
b,b,f,b,a,,d,b,b
b,b,e,a,a,,e,a,b
d,c,e,a,a,b,c,d,c
b,a,e,a,a,,c,b,c
b,b,f,b,a,a,e,b,a
c,b,e,c,a,b,c,c,a
c,a,f,b,a,,d,b,a
a,b,f,a,a,a,d,a,a
b,b,e,b,a,a,c,b,c
a,,e,d,a,b,d,c,b
c,a,e,b,a,,d,b,c
c,b,e,a,a,,e,b,c
b,c,e,b,a,a,e,b,b
c,c,e,b,a,b,d,a,a
a,b,e,d,a,,e,b,a
d,c,e,d,a,b,c,b,c
b,c,f,d,a,b,c,d,c
b,c,f,b,a,b,g,d,a
d,d,e,a,a,a,d,a,d
a,a,f,a,a,,d,a,a
a,c,e,a,a,c,d,a,c
c,d,f,c,a,b,c,c,b
b,c,f,a,a,c,c,c,c
d,b,f,d,a,d,c,c,d
c,a,e,b,a,b,e,a,b
b,b,e,b,a,c,d,b,d
c,b,e,c,a,a,c,b,a
b,b,d,a,a,,e,c,a
b,c,e,b,a,,g,b,c
b,a,e,b,a,d,d,b,c
b,c,e,b,a,,d,c,a
b,d,e,c,a,b,c,c,c
a,d,e,b,a,b,d,b,a
b,d,e,d,a,d,d,b,c
d,d,e,c,a,b,c,c,b
c,c,e,b,a,b,d,d,b
c,d,e,a,a,b,c,c,c
c,c,d,b,a,b,d,c,c
d,d,g,d,a,d,b,d,d
d,d,e,c,a,d,c,d,a
c,c,e,c,a,b,c,c,b
a,a,f,a,a,b,d,c,d
b,b,e,b,a,d,c,b,d
d,,e,d,a,c,c,d,d
b,a,h,c,a,,c,c,a
a,a,f,a,a,,e,a,a
d,d,e,b,a,c,f,c,d
c,d,f,b,a,,e,a,d
c,d,e,a,a,d,c,c,c
