investor,CC22_306,CC22_300b_5,CC22_300d_2,presvote16post,presvote20post,CC22_300b_3,CC22_300d_5,numchildren,religpew,CC22_333,CC22_300b_1,race,educ,industry,CC22_320c,CC22_304,CC22_320b,CC22_300b_4,marstat,CC22_309e,CC22_300d_6,CC22_300b_6,CC22_300d_4,sexuality,gunown,ideo5,CC22_300b_2,CC22_300d_1,CC22_320a,CC22_303,gender4,CC22_300b_8,CC22_360,CC22_300d_3,employ,urbancity,transgender,CC22_327a,faminc_new,pew_religimp,CC22_302,CC22_300b_7,hispanic,CC22_309f
2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0501541786049799,2,4.0,2.0,3,5,10.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,8.0,3,2.0,2.0,0,3.0,2,1.0,3.0,1.0,1.0,2,2.0,2.0,3.0,4.0,1.0,2.0,1.0,2.0
2.0,2.0,1.0,2.0,7.0,6.0,2.0,2.0,0.0419847992789881,1,1.0,2.0,2,2,8.0,2.0,4.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,6,2.0,1.0,0,3.0,1,2.0,2.0,1.0,1.0,4,2.0,1.0,1.0,2.0,4.0,2.0,2.0,4.0
2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,-0.3038788612793941,1,2.0,2.0,2,5,12.0,3.0,1.0,3.0,2.0,5.0,3.0,2.0,2.0,1.0,1.0,3.0,4,2.0,1.0,1,3.0,2,2.0,2.0,1.0,4.0,1,2.0,1.0,2.0,1.0,4.0,2.0,2.0,1.0
1.0,1.0,2.0,2.0,6.0,1.0,2.0,2.0,-0.1765962518454997,3,1.0,1.0,7,5,7.0,4.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2,2.0,2.0,1,5.0,2,2.0,2.0,1.0,5.0,4,2.0,1.0,7.0,3.0,5.0,2.0,2.0,4.0
2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.2407681782644911,11,3.0,2.0,1,6,16.0,5.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,4,1.0,1.0,0,3.0,1,2.0,3.0,2.0,6.0,1,2.0,2.0,6.0,4.0,5.0,2.0,2.0,2.0
1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0682538406595978,2,2.0,1.0,1,3,9.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,2,2.0,2.0,1,3.0,1,2.0,2.0,1.0,1.0,3,2.0,1.0,97.0,2.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,4.054409933378094,2,4.0,2.0,1,2,5.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,4,2.0,1.0,0,3.0,2,2.0,3.0,1.0,5.0,2,2.0,2.0,3.0,4.0,5.0,2.0,1.0,2.0
1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.8409843760694573,11,1.0,2.0,1,3,10.0,3.0,1.0,2.0,2.0,3.0,4.0,1.0,1.0,2.0,1.0,2.0,3,2.0,2.0,0,4.0,1,2.0,1.0,2.0,1.0,2,2.0,1.0,5.0,4.0,3.0,2.0,2.0,4.0
1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,-0.263011401892932,10,4.0,2.0,1,3,12.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,4,2.0,2.0,0,3.0,1,2.0,3.0,1.0,1.0,1,2.0,2.0,10.0,1.0,5.0,2.0,2.0,1.0
2.0,4.0,2.0,2.0,7.0,6.0,2.0,2.0,1.0420520150090895,11,3.0,1.0,2,2,17.0,5.0,1.0,2.0,2.0,5.0,2.0,1.0,2.0,2.0,1.0,3.0,6,1.0,2.0,1,3.0,1,2.0,2.0,2.0,7.0,1,2.0,1.0,4.0,4.0,6.0,2.0,2.0,3.0
