CC22_320a,numchildren,CC22_300d_3,CC22_300d_1,CC22_300d_4,CC22_300d_6,CC22_300d_5,CC22_300d_2,CC22_309f,hispanic,CC22_300b_7,CC22_302,pew_religimp,faminc_new,CC22_327a,transgender,urbancity,employ,CC22_360,CC22_300b_8,gender4,CC22_303,CC22_300b_2,ideo5,gunown,sexuality,CC22_300b_6,CC22_309e,marstat,CC22_300b_4,CC22_320b,CC22_304,CC22_320c,industry,educ,race,CC22_300b_1,CC22_333,religpew,CC22_300b_3,presvote20post,presvote16post,CC22_300b_5,CC22_306,investor
0,0.991784633231523,1.0,1.0,2.0,2.0,2.0,1.0,5.0,2.0,1.0,6.0,2.0,97.0,2.0,2.0,1,1.0,1.0,1.0,2,1.0,2.0,6,3.0,1.0,2.0,2.0,5.0,2.0,5.0,2.0,5.0,7.0,2,1,2.0,2.0,11,1.0,1.0,1.0,2.0,2.0,2.0
1,0.05713732210173439,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,4.0,4.0,1.0,2.0,1,2.0,2.0,1.0,2,3.0,1.0,2,3.0,1.0,2.0,4.0,1.0,1.0,3.0,1.0,3.0,12.0,2,2,1.0,2.0,11,1.0,6.0,7.0,2.0,2.0,2.0
1,2.080033787996901,1.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,4.0,1.0,2.0,1,1.0,2.0,1.0,2,5.0,1.0,2,2.0,1.0,2.0,3.0,1.0,2.0,4.0,5.0,5.0,12.0,4,1,1.0,2.0,11,2.0,2.0,1.0,2.0,1.0,1.0
1,1.8044955947431354,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,7.0,1.0,2.0,2,1.0,3.0,2.0,2,3.0,2.0,2,2.0,1.0,2.0,3.0,5.0,2.0,1.0,1.0,5.0,9.0,3,1,2.0,4.0,11,2.0,1.0,4.0,2.0,4.0,1.0
0,1.1946860227716503,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,2.0,1.0,2.0,4,1.0,1.0,2.0,2,4.0,2.0,2,1.0,6.0,2.0,2.0,5.0,2.0,5.0,2.0,4.0,10.0,5,2,1.0,3.0,6,2.0,6.0,7.0,2.0,1.0,2.0
0,1.2613012659744363,1.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,4.0,2.0,97.0,1.0,2.0,1,1.0,2.0,2.0,2,4.0,1.0,3,3.0,1.0,2.0,5.0,5.0,2.0,5.0,1.0,3.0,8.0,2,2,1.0,3.0,1,2.0,1.0,1.0,1.0,1.0,2.0
1,1.7172540654931145,1.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,5.0,1.0,6.0,1.0,2.0,2,1.0,2.0,2.0,2,3.0,2.0,6,3.0,6.0,2.0,2.0,1.0,2.0,5.0,2.0,5.0,8.0,5,2,2.0,1.0,10,1.0,1.0,7.0,2.0,2.0,2.0
0,-0.11154050017407369,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,7.0,1.0,2.0,2,1.0,3.0,1.0,2,2.0,1.0,6,2.0,1.0,2.0,3.0,1.0,2.0,5.0,1.0,5.0,7.0,2,2,1.0,1.0,10,1.0,1.0,1.0,2.0,2.0,2.0
0,0.45673114741854637,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,97.0,1.0,2.0,1,5.0,3.0,2.0,2,3.0,2.0,3,3.0,4.0,2.0,3.0,1.0,2.0,4.0,2.0,3.0,8.0,4,3,1.0,3.0,11,1.0,5.0,7.0,2.0,2.0,1.0
1,1.6830851921281087,1.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1,2.0,2.0,2.0,2,4.0,2.0,3,3.0,1.0,2.0,3.0,1.0,1.0,5.0,2.0,5.0,8.0,2,1,2.0,1.0,2,1.0,6.0,1.0,2.0,2.0,2.0
