numchildren,CC22_300d_5,CC22_300d_2,CC22_300d_1,gunown,transgender,sexuality,industry,presvote16post,faminc_new,marstat,religpew,pew_religimp,investor,employ,ideo5,presvote20post,urbancity,CC22_360,CC22_333,CC22_327a,CC22_320c,CC22_320b,CC22_320a,CC22_309f,CC22_309e,CC22_306,CC22_304,CC22_303,CC22_302,CC22_300d_6,CC22_300d_4,CC22_300d_3,CC22_300b_8,CC22_300b_7,CC22_300b_6,CC22_300b_5,CC22_300b_4,CC22_300b_3,CC22_300b_2,CC22_300b_1,hispanic,race,educ,gender4
2.1118752777138927,2.0,2.0,2.0,3.0,2.0,1.0,10.0,1.0,3.0,5.0,6,2.0,2.0,7.0,3,1.0,2,2.0,3.0,1.0,2.0,5.0,3.0,2.0,5.0,1.0,1.0,5.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2,3,1
1.9352766648535469,2.0,2.0,2.0,3.0,2.0,1.0,17.0,1.0,1.0,4.0,2,1.0,2.0,2.0,2,1.0,1,2.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,1.0,1.0,4.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2,3,2
2.017229596032398,2.0,2.0,2.0,3.0,2.0,1.0,5.0,7.0,5.0,5.0,1,1.0,2.0,5.0,2,1.0,3,2.0,2.0,1.0,4.0,2.0,1.0,3.0,4.0,1.0,1.0,3.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2,2,2
2.136319162044786,2.0,2.0,2.0,3.0,2.0,1.0,12.0,7.0,5.0,6.0,2,1.0,2.0,7.0,3,6.0,1,2.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1,2,1
2.2474268843161282,2.0,2.0,1.0,3.0,2.0,1.0,7.0,1.0,2.0,5.0,11,4.0,2.0,8.0,6,1.0,4,2.0,1.0,1.0,4.0,1.0,3.0,3.0,2.0,4.0,1.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2,5,2
2.137905755646624,2.0,2.0,1.0,3.0,2.0,1.0,10.0,7.0,7.0,1.0,11,1.0,2.0,6.0,2,1.0,4,2.0,1.0,1.0,2.0,5.0,2.0,4.0,4.0,1.0,1.0,2.0,5.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2,3,2
1.7002921330554026,2.0,2.0,2.0,2.0,2.0,1.0,6.0,7.0,3.0,5.0,3,2.0,2.0,2.0,3,1.0,2,2.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,1.0,4.0,3.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2,2,1
2.2301917682322885,2.0,2.0,2.0,1.0,2.0,1.0,8.0,7.0,2.0,5.0,11,1.0,2.0,5.0,3,1.0,1,2.0,4.0,1.0,3.0,2.0,1.0,1.0,4.0,1.0,1.0,3.0,5.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2,2,1
1.93978425989763,2.0,2.0,2.0,3.0,2.0,1.0,7.0,7.0,4.0,5.0,1,2.0,2.0,6.0,1,6.0,2,2.0,2.0,1.0,5.0,2.0,2.0,1.0,4.0,4.0,1.0,4.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1,3,2
2.0788094043766434,2.0,1.0,2.0,1.0,2.0,1.0,10.0,1.0,2.0,5.0,11,1.0,2.0,6.0,6,1.0,2,2.0,2.0,1.0,4.0,3.0,1.0,4.0,3.0,4.0,1.0,3.0,6.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2,2,1
