CC22_320a,numchildren,CC22_300d_3,CC22_300d_1,CC22_300d_4,CC22_300d_6,CC22_300d_5,CC22_300d_2,CC22_309f,hispanic,CC22_300b_7,CC22_302,pew_religimp,faminc_new,CC22_327a,transgender,urbancity,employ,CC22_360,CC22_300b_8,gender4,CC22_303,CC22_300b_2,ideo5,gunown,sexuality,CC22_300b_6,CC22_309e,marstat,CC22_300b_4,CC22_320b,CC22_304,CC22_320c,industry,educ,race,CC22_300b_1,CC22_333,religpew,CC22_300b_3,presvote20post,presvote16post,CC22_300b_5,CC22_306,investor
0,4.951419646476185,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,5.0,2.0,4.0,1.0,2.0,3,5.0,1.0,2.0,1,3.0,1.0,4,1.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,4.0,2,1,2.0,4.0,1,2.0,2.0,2.0,1.0,4.0,2.0
0,6.067255694104912,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,5.0,1.0,6.0,2.0,2.0,2,5.0,3.0,2.0,1,3.0,1.0,5,1.0,1.0,1.0,4.0,5.0,2.0,3.0,1.0,2.0,8.0,2,1,2.0,4.0,1,2.0,3.0,7.0,1.0,4.0,2.0
0,3.352084254916171,2.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,5.0,2.0,8.0,2.0,2.0,2,2.0,3.0,1.0,2,3.0,1.0,5,2.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,4.0,10.0,4,1,2.0,5.0,1,2.0,2.0,2.0,2.0,4.0,2.0
1,5.487153176571585,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,5.0,1.0,2.0,2.0,2.0,1,6.0,3.0,1.0,1,3.0,2.0,4,2.0,1.0,2.0,3.0,6.0,2.0,5.0,2.0,2.0,8.0,2,1,2.0,3.0,1,2.0,2.0,2.0,2.0,2.0,2.0
1,3.866682024487748,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,2.0,2.0,4,4.0,3.0,2.0,2,3.0,1.0,4,1.0,1.0,2.0,2.0,1.0,2.0,4.0,1.0,4.0,10.0,3,7,1.0,2.0,2,2.0,2.0,7.0,1.0,1.0,2.0
0,8.097520874223864,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,5.0,3.0,4.0,2.0,2.0,2,5.0,3.0,2.0,2,3.0,1.0,4,3.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,5.0,8.0,5,1,2.0,4.0,11,2.0,2.0,6.0,1.0,1.0,2.0
1,5.016915365729009,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,5.0,3.0,3.0,1.0,2.0,2,1.0,4.0,2.0,2,4.0,1.0,5,3.0,1.0,2.0,3.0,1.0,2.0,4.0,1.0,1.0,8.0,2,1,2.0,4.0,11,2.0,6.0,2.0,1.0,1.0,2.0
1,5.79681490662428,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,5.0,2.0,6.0,2.0,2.0,2,1.0,3.0,1.0,2,4.0,1.0,4,3.0,1.0,2.0,2.0,4.0,1.0,3.0,1.0,5.0,7.0,3,1,2.0,2.0,1,2.0,2.0,2.0,2.0,3.0,2.0
1,5.976722601391886,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,5.0,1.0,3.0,1.0,2.0,4,5.0,3.0,1.0,1,2.0,1.0,3,3.0,1.0,2.0,4.0,1.0,2.0,3.0,1.0,3.0,10.0,3,1,2.0,2.0,1,2.0,2.0,2.0,1.0,4.0,1.0
1,6.540970986257209,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,5.0,1.0,3.0,2.0,2.0,1,4.0,3.0,2.0,2,3.0,2.0,4,3.0,4.0,2.0,3.0,1.0,1.0,5.0,1.0,2.0,10.0,3,1,1.0,4.0,11,1.0,2.0,2.0,2.0,4.0,2.0
0,3.3722579536233317,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,5.0,1.0,3.0,2.0,2.0,1,5.0,3.0,2.0,2,4.0,2.0,5,8.0,1.0,2.0,3.0,1.0,2.0,4.0,1.0,1.0,10.0,2,1,2.0,4.0,4,2.0,2.0,7.0,2.0,4.0,2.0
1,3.877869824657423,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,5.0,1.0,5.0,1.0,2.0,1,6.0,3.0,1.0,1,4.0,2.0,3,1.0,1.0,2.0,4.0,1.0,2.0,5.0,1.0,5.0,9.0,3,1,1.0,2.0,2,2.0,2.0,2.0,1.0,4.0,2.0
0,3.483597473140039,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,5.0,1.0,2.0,2.0,2.0,4,5.0,3.0,2.0,1,2.0,2.0,4,1.0,6.0,2.0,3.0,6.0,2.0,3.0,1.0,4.0,16.0,3,1,2.0,3.0,1,1.0,2.0,7.0,1.0,4.0,1.0
0,6.661735994701339,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,4.0,4.0,2.0,2.0,4,1.0,3.0,2.0,1,2.0,2.0,4,1.0,1.0,2.0,4.0,1.0,2.0,4.0,2.0,1.0,5.0,4,1,1.0,3.0,1,2.0,2.0,7.0,1.0,1.0,2.0
0,4.6890084967301755,2.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,5.0,1.0,3.0,2.0,2.0,1,3.0,3.0,2.0,1,3.0,2.0,4,2.0,1.0,2.0,2.0,5.0,2.0,3.0,1.0,5.0,8.0,1,1,2.0,5.0,12,2.0,2.0,7.0,1.0,3.0,1.0
1,3.475178918203097,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,3.0,2.0,2.0,2,2.0,3.0,2.0,2,2.0,1.0,3,1.0,1.0,2.0,3.0,1.0,1.0,4.0,1.0,4.0,9.0,3,1,1.0,3.0,4,2.0,2.0,7.0,1.0,2.0,2.0
0,6.37077653075819,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,5.0,1.0,3.0,2.0,2.0,3,2.0,3.0,2.0,2,4.0,2.0,5,3.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,1.0,12.0,3,1,2.0,2.0,12,1.0,2.0,7.0,2.0,1.0,1.0
1,5.494562227740758,2.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,5.0,1.0,9.0,2.0,2.0,3,4.0,1.0,2.0,2,3.0,2.0,4,2.0,6.0,2.0,3.0,6.0,2.0,2.0,1.0,5.0,8.0,2,1,1.0,5.0,7,2.0,2.0,2.0,2.0,4.0,2.0
1,5.385067642987662,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,5.0,2.0,3.0,2.0,2.0,2,6.0,3.0,2.0,1,3.0,1.0,4,3.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,4.0,8.0,3,1,2.0,3.0,11,2.0,2.0,7.0,1.0,4.0,2.0
0,6.1900317440931225,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,5.0,1.0,4.0,2.0,2.0,2,2.0,1.0,1.0,2,4.0,1.0,4,3.0,1.0,2.0,2.0,5.0,2.0,2.0,1.0,2.0,13.0,2,1,2.0,2.0,1,2.0,2.0,2.0,2.0,1.0,2.0
0,3.0078584596659144,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,5.0,1.0,7.0,1.0,2.0,2,5.0,3.0,2.0,2,3.0,2.0,4,1.0,1.0,2.0,5.0,5.0,2.0,5.0,1.0,4.0,10.0,3,1,1.0,3.0,11,2.0,2.0,2.0,2.0,2.0,2.0
1,4.4334548426965235,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,2.0,2,6.0,3.0,2.0,2,3.0,2.0,3,3.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,4.0,12.0,2,1,2.0,1.0,12,1.0,2.0,2.0,1.0,1.0,2.0
0,5.98122002610026,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,6.0,1.0,2.0,2,5.0,3.0,2.0,2,3.0,2.0,5,3.0,1.0,2.0,3.0,3.0,2.0,4.0,1.0,2.0,6.0,3,1,2.0,2.0,12,2.0,2.0,2.0,2.0,1.0,2.0
0,5.072681675643648,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,4.0,2.0,2.0,3,5.0,3.0,2.0,1,5.0,2.0,4,3.0,1.0,2.0,4.0,1.0,2.0,5.0,1.0,1.0,16.0,2,1,2.0,4.0,1,1.0,2.0,2.0,2.0,2.0,1.0
0,6.0017732276099345,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,5.0,2.0,11.0,2.0,2.0,1,5.0,1.0,2.0,2,3.0,2.0,5,3.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,10.0,2,1,2.0,3.0,1,2.0,2.0,2.0,2.0,1.0,1.0
0,5.559471388910622,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,5.0,1.0,6.0,2.0,2.0,1,5.0,3.0,2.0,1,2.0,2.0,5,3.0,1.0,2.0,3.0,5.0,2.0,2.0,1.0,2.0,15.0,2,1,2.0,1.0,2,2.0,2.0,7.0,1.0,1.0,2.0
1,5.5782489904726535,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,5.0,1.0,9.0,2.0,2.0,1,7.0,3.0,2.0,2,5.0,2.0,5,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,8.0,2,1,2.0,3.0,1,1.0,2.0,2.0,1.0,4.0,2.0
1,4.196926576956075,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,5.0,1.0,2.0,2.0,2.0,4,1.0,3.0,2.0,1,3.0,1.0,4,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,17.0,3,1,2.0,3.0,2,2.0,2.0,2.0,2.0,1.0,1.0
1,4.811705355361698,2.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,5.0,3.0,3.0,2.0,2.0,4,4.0,3.0,2.0,2,5.0,1.0,5,1.0,1.0,2.0,2.0,5.0,2.0,3.0,1.0,2.0,7.0,3,1,2.0,3.0,2,1.0,2.0,2.0,1.0,1.0,2.0
1,3.646542269961544,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,5.0,1.0,6.0,1.0,2.0,1,5.0,3.0,2.0,2,4.0,2.0,5,1.0,1.0,2.0,4.0,3.0,2.0,3.0,5.0,3.0,15.0,5,7,2.0,2.0,1,1.0,6.0,2.0,1.0,3.0,2.0
1,5.8145515412960505,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,5.0,1.0,4.0,2.0,2.0,3,1.0,1.0,2.0,1,3.0,2.0,4,3.0,1.0,2.0,3.0,5.0,2.0,2.0,1.0,3.0,6.0,2,1,2.0,3.0,2,2.0,2.0,2.0,2.0,1.0,1.0
1,5.618301201953534,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,4.0,97.0,1.0,2.0,4,1.0,1.0,2.0,1,3.0,2.0,4,2.0,1.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,13.0,3,1,2.0,4.0,11,1.0,2.0,7.0,1.0,2.0,2.0
1,5.37889135797426,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,3.0,1.0,2.0,3,6.0,1.0,1.0,2,3.0,2.0,4,1.0,1.0,2.0,2.0,3.0,1.0,3.0,1.0,3.0,6.0,4,1,2.0,2.0,1,2.0,2.0,2.0,1.0,4.0,1.0
0,7.102443648430052,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,6.0,2.0,2.0,4,5.0,3.0,1.0,2,3.0,2.0,4,3.0,1.0,2.0,3.0,6.0,2.0,3.0,1.0,2.0,12.0,5,1,1.0,4.0,1,2.0,2.0,2.0,1.0,4.0,2.0
0,5.724894021034128,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,6.0,1.0,2.0,4,5.0,3.0,2.0,2,3.0,1.0,3,3.0,4.0,2.0,4.0,4.0,2.0,5.0,1.0,2.0,7.0,2,2,2.0,4.0,1,1.0,2.0,2.0,1.0,1.0,2.0
1,4.682508158339249,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,5.0,1.0,2.0,1.0,2.0,4,1.0,3.0,2.0,2,3.0,1.0,3,8.0,1.0,2.0,3.0,3.0,2.0,4.0,1.0,3.0,8.0,2,1,1.0,3.0,2,2.0,2.0,2.0,1.0,1.0,2.0
0,5.34878722772564,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,5.0,2.0,97.0,2.0,2.0,4,2.0,3.0,2.0,2,4.0,1.0,4,1.0,1.0,2.0,3.0,4.0,2.0,3.0,1.0,4.0,17.0,2,1,2.0,5.0,7,2.0,2.0,2.0,1.0,4.0,2.0
0,6.074036513321442,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,5.0,1.0,5.0,2.0,2.0,2,5.0,3.0,2.0,2,3.0,2.0,4,1.0,1.0,2.0,3.0,1.0,1.0,4.0,1.0,2.0,5.0,2,1,1.0,2.0,1,2.0,2.0,2.0,1.0,1.0,2.0
