investor,CC22_306,CC22_300b_5,CC22_300d_2,presvote16post,presvote20post,CC22_300b_3,CC22_300d_5,numchildren,religpew,CC22_333,CC22_300b_1,race,educ,industry,CC22_320c,CC22_304,CC22_320b,CC22_300b_4,marstat,CC22_309e,CC22_300d_6,CC22_300b_6,CC22_300d_4,sexuality,gunown,ideo5,CC22_300b_2,CC22_300d_1,CC22_320a,CC22_303,gender4,CC22_300b_8,CC22_360,CC22_300d_3,employ,urbancity,transgender,CC22_327a,faminc_new,pew_religimp,CC22_302,CC22_300b_7,hispanic,CC22_309f
2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.1483246781905216,2,3.0,2.0,1,3,11.0,2.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,4,2.0,2.0,0,4.0,1,2.0,3.0,1.0,5.0,4,2.0,2.0,8.0,3.0,5.0,2.0,2.0,1.0
2.0,2.0,1.0,2.0,1.0,6.0,2.0,2.0,-0.04222646236320034,2,1.0,1.0,7,5,5.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,2,2.0,2.0,0,3.0,2,2.0,2.0,2.0,1.0,4,2.0,1.0,9.0,1.0,3.0,1.0,2.0,1.0
2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,0.002731335329587846,1,5.0,2.0,1,2,6.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,5,2.0,2.0,0,3.0,1,2.0,1.0,2.0,5.0,1,2.0,2.0,97.0,1.0,5.0,2.0,2.0,3.0
2.0,2.0,2.0,2.0,7.0,1.0,2.0,2.0,2.817787102031587,10,1.0,2.0,1,2,12.0,4.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,3.0,2.0,2,1.0,2.0,1,3.0,2,2.0,2.0,1.0,9.0,1,2.0,1.0,3.0,4.0,2.0,2.0,2.0,2.0
2.0,2.0,2.0,2.0,7.0,6.0,2.0,2.0,0.10443382535768961,11,1.0,1.0,1,4,1.0,5.0,1.0,3.0,2.0,6.0,3.0,1.0,2.0,2.0,5.0,8.0,3,2.0,2.0,0,2.0,2,2.0,2.0,2.0,5.0,3,2.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0
2.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.071657886353438,4,1.0,1.0,1,5,16.0,5.0,2.0,5.0,2.0,6.0,3.0,2.0,2.0,2.0,1.0,3.0,1,2.0,1.0,1,2.0,2,2.0,1.0,1.0,1.0,2,2.0,2.0,10.0,4.0,5.0,2.0,2.0,2.0
2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,-0.2008335261333065,1,4.0,2.0,1,5,8.0,2.0,1.0,3.0,2.0,5.0,2.0,2.0,2.0,2.0,4.0,1.0,5,2.0,1.0,0,5.0,2,2.0,1.0,1.0,5.0,3,2.0,2.0,5.0,1.0,5.0,2.0,2.0,1.0
1.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,3.092066459962807,1,2.0,2.0,1,5,10.0,4.0,1.0,4.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,4,2.0,2.0,0,3.0,2,2.0,3.0,1.0,7.0,1,2.0,2.0,10.0,1.0,5.0,2.0,2.0,1.0
1.0,1.0,1.0,2.0,2.0,6.0,2.0,2.0,1.0621778034685303,12,2.0,2.0,1,3,8.0,2.0,1.0,4.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,3,1.0,2.0,0,5.0,2,1.0,1.0,2.0,1.0,2,2.0,1.0,12.0,2.0,5.0,2.0,2.0,1.0
2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,-0.04203697736238109,5,3.0,1.0,2,3,6.0,2.0,1.0,2.0,2.0,5.0,2.0,2.0,1.0,2.0,1.0,3.0,6,1.0,2.0,1,4.0,2,2.0,2.0,1.0,5.0,2,2.0,1.0,7.0,1.0,4.0,1.0,2.0,1.0
